Tên thủ tục,Link
"Cấp đổi chứng nhận đăng ký xe, biển số xe thực hiện tại Công an cấp xã được phân cấp đăng ký xe",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=64209
"Cấp lại chứng nhận đăng ký xe, biển số xe thực hiện tại Công an xã được phân cấp đăng ký xe",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=64189
Đăng ký xe tạm thời thực hiện tại Công an cấp xã được phân cấp đăng ký xe,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=64169
"Thu hồi chứng nhận đăng ký xe, biển số xe thực hiện tại Công an cấp xã được phân cấp đăng ký xe",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=64190
Cấp Giấy phép trang bị công cụ hỗ trợ thực hiện tại Cục,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26224
Cấp giấy phép sử dụng thiết bị phát tín hiệu của xe được quyền ưu tiên hiện tại Công an cấp Tỉnh,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26134
Cấp giấy phép sử dụng thiết bị phát tín hiệu của xe ưu tiên thực hiện tại cấp Cục,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26124
Đăng ký lại mẫu con dấu (thực hiện tại cấp trung ương),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26333
Điều chỉnh Giấy phép vận chuyển tiền chất thuốc nổ thực hiện tại Cục,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26312
Đăng ký thêm con dấu (thực hiện tại cấp trung ương),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26335
Cấp Giấy phép sửa chữa công cụ hỗ trợ thực hiện tại Cục,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26297
Cấp lại Giấy phép sử dụng vũ khí thể thao thực hiện tại Cục,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26321
Cấp Giấy phép sử dụng công cụ hỗ trợ thực hiện tại Cục,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26432
"Cấp lại giấy chứng nhận sử dụng vũ khí, vật liệu nổ quân dụng, công cụ hỗ trợ; chứng chỉ quản lý kho, nơi cất giữ vũ khí, vật liệu nổ quân dụng, công cụ hỗ trợ thực hiện tại Công an cấp tỉnh",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=58852
"Cấp lại giấy chứng nhận sử dụng vũ khí, vật liệu nổ quân dụng, công cụ hỗ trợ; chứng chỉ quản lý kho, nơi cất giữ vũ khí, vật liệu nổ quân dụng, công cụ hỗ trợ thực hiện tại Cục",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=58832
Đăng ký khai báo công cụ hỗ trợ thực hiện tại Cục,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=58795
"Đề nghị đào tạo, huấn luyện về quản lý, sử dụng vũ khí, vật liệu nổ quân dụng, công cụ hỗ trợ và cấp, cấp đổi giấy chứng nhận sử dụng vũ khí, vật liệu nổ quân dụng, công cụ hỗ trợ; chứng chỉ quản lý kho, nơi cất giữ vũ khí, vật liệu nổ quân dụng, công cụ hỗ trợ thực hiện tại Công an cấp tỉnh",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=58796
"Đề nghị đào tạo, huấn luyện về quản lý, sử dụng vũ khí, vật liệu nổ quân dụng, công cụ hỗ trợ và cấp, cấp đổi giấy chứng nhận sử dụng vũ khí, vật liệu nổ quân dụng, công cụ hỗ trợ; chứng chỉ quản lý kho, nơi cất giữ vũ khí, vật liệu nổ quân dụng, công cụ hỗ trợ thực hiện tại Cục",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=58715
"Đăng ký dấu nổi, dấu thu nhỏ, dấu xi (thực hiện tại cấp trung ương)",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26336
Đăng ký khai báo công cụ hỗ trợ thực hiện tại Công an cấp tỉnh,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=58812
Điều chỉnh Giấy phép vận chuyển vật liệu nổ công nghiệp thực hiện tại Cục,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26316
Cấp Giấy phép sử dụng vũ khí thể thao thực hiện tại Cục,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26205
"Đề nghị làm mất tính năng, tác dụng của vũ khí, công cụ hỗ trợ được sử dụng để triển lãm, trưng bày hoặc làm đạo cụ trong hoạt động văn hóa, nghệ thuật thực hiện tại Cục",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26290
